Timestamp, bus_booking_method,booking_frustrations, use_likelihood,fee_willingness,feature_preferences,main_route, preferred_mobile_money, booking_confirmations_preferences,whatsapp
04/10/2026 11:32,Calling a driver or agent directly,"Uncertainty about departure times, Lack of seat availability when I arrive",I would rarely use it (I prefer the station),Yes,"Live Tracking: Seeing exactly where the bus is on a map., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Zamtel Kwacha,In-app push notification,j
04/10/2026 13:09,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",977745548
04/10/2026 14:11,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Uncertainty about departure times",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Livingstone,MTN MoMo,SMS/Text Message,
04/10/2026 14:12,Physical trip to the station/inter-city terminus,Poor safety/security at the station,I would likely use it for most trips,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/10/2026 14:14,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Lack of seat availability when I arrive",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, Email",
04/10/2026 14:20,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Limited payment options (cash only), Poor safety/security at the station, Lack of seat availability when I arrive, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,I prefer Bank/Card,SMS/Text Message,
04/10/2026 14:22,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Uncertainty about departure times",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"Email, SMS/Text Message, WhatsApp",979938909
04/10/2026 14:23,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I might use it depending on the bus operator,Maybe,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"In-app push notification, WhatsApp",2.60976E+11
04/10/2026 14:24,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Solwezi,Airtel Money,"WhatsApp, Email",974713032
04/10/2026 14:29,Physical trip to the station/inter-city terminus,Poor safety/security at the station,I would likely use it for most trips,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",
04/10/2026 14:31,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Limited payment options (cash only)",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Kasama,I prefer Bank/Card,"Email, SMS/Text Message",
04/10/2026 14:38,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Solwezi,MTN MoMo,"SMS/Text Message, WhatsApp",
04/10/2026 15:16,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times",I might use it depending on the bus operator,No,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Solwezi,Airtel Money,In-app push notification,
04/10/2026 15:46,"Physical trip to the station/inter-city terminus, Calling a driver or agent directly","Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Limited payment options (cash only)",I might use it depending on the bus operator,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Solwezi -Lusaka,Airtel Money,"SMS/Text Message, WhatsApp",965887009
04/10/2026 15:56,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Lack of seat availability when I arrive",I would use it every time I travel,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Solwezi,MTN MoMo,"SMS/Text Message, Email",970481610
04/10/2026 16:00,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,Live Tracking: Seeing exactly where the bus is on a map.,Lusaka to Mongu.,Airtel Money,SMS/Text Message,2.60978E+11
04/10/2026 16:10,Calling a driver or agent directly,Poor safety/security at the station,I might use it depending on the bus operator,Maybe,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Livingstone,Airtel Money,Email,
04/10/2026 16:11,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would use it every time I travel,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,Airtel Money,"Email, SMS/Text Message",976511447
04/10/2026 16:14,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",
04/10/2026 16:18,Physical trip to the station/inter-city terminus,Poor safety/security at the station,I would use it every time I travel,Yes,Live Tracking: Seeing exactly where the bus is on a map.,Lusaka — Kitwe / Ndola,Airtel Money,"Email, WhatsApp, SMS/Text Message, In-app push notification",961713979
04/10/2026 16:18,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I might use it depending on the bus operator,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,Airtel Money,"In-app push notification, SMS/Text Message",
04/10/2026 16:20,"Other, Physical trip to the station/inter-city terminus","Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, Email",
04/10/2026 16:22,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Uncertainty about departure times, Limited payment options (cash only), Lack of seat availability when I arrive, Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"Email, WhatsApp",
04/10/2026 16:24,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Livingstone,Airtel Money,WhatsApp,
04/10/2026 16:26,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Lack of seat availability when I arrive, Uncertainty about departure times, Poor safety/security at the station, Limited payment options (cash only)",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"Email, SMS/Text Message",943941722
04/10/2026 16:26,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Limited payment options (cash only)",I would likely use it for most trips,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",
04/10/2026 16:31,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Poor safety/security at the station",I would likely use it for most trips,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/10/2026 16:44,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,MTN MoMo,"WhatsApp, In-app push notification, Email",
04/10/2026 16:45,Third-party booking office,Uncertainty about departure times,I might use it depending on the bus operator,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Livingstone,MTN MoMo,SMS/Text Message,976072515
04/10/2026 16:47,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/10/2026 16:49,Other,Uncertainty about departure times,I would never use it,No,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Livingstone,Airtel Money,"SMS/Text Message, WhatsApp, In-app push notification, Email",
04/10/2026 16:50,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Poor safety/security at the station, Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp",
04/10/2026 16:53,Physical trip to the station/inter-city terminus,Lack of seat availability when I arrive,I would likely use it for most trips,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,Airtel Money,"Email, WhatsApp, SMS/Text Message, In-app push notification",
04/10/2026 16:53,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times, Limited payment options (cash only)",I might use it depending on the bus operator,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka - Chipata ,Airtel Money,"Email, SMS/Text Message",
04/10/2026 16:54,"Calling a driver or agent directly, Physical trip to the station/inter-city terminus, Other","Poor safety/security at the station, Lack of seat availability when I arrive, Limited payment options (cash only), Uncertainty about departure times",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, Email, In-app push notification, WhatsApp",
04/10/2026 17:19,"Calling a driver or agent directly, Physical trip to the station/inter-city terminus","Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Uncertainty about departure times, Limited payment options (cash only), Lack of seat availability when I arrive",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Livingstone,Airtel Money,"WhatsApp, In-app push notification, SMS/Text Message",
04/10/2026 17:25,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Maybe,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Solwezi,Airtel Money,"WhatsApp, Email, In-app push notification, SMS/Text Message",2.6077E+11
04/10/2026 17:31,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times, Limited payment options (cash only), Poor safety/security at the station, Lack of seat availability when I arrive",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,Email,971868751
04/10/2026 17:50,Calling a driver or agent directly,Uncertainty about departure times,I would likely use it for most trips,Maybe,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Livingstone,Airtel Money,WhatsApp,
04/10/2026 17:51,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times, Poor safety/security at the station",I might use it depending on the bus operator,Maybe,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, In-app push notification, Email, WhatsApp",975145352
04/10/2026 17:57,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Solwezi,Airtel Money,SMS/Text Message,"Yes, I will be"
04/10/2026 18:02,"Physical trip to the station/inter-city terminus, Calling a driver or agent directly","Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Livingstone,Airtel Money,"WhatsApp, Email",975944213
04/10/2026 18:28,Other,"Uncertainty about departure times, Poor safety/security at the station, Lack of seat availability when I arrive, Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"Email, WhatsApp",
04/10/2026 18:32,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Uncertainty about departure times",I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Solwezi,Airtel Money,"WhatsApp, SMS/Text Message",
04/10/2026 18:39,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only)",I would use it every time I travel,No,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Zamtel Kwacha,SMS/Text Message,
04/10/2026 18:41,"Other, Calling a driver or agent directly",Poor safety/security at the station,I might use it depending on the bus operator,Maybe,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map., Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle)",LUN- JNB ,Airtel Money,"WhatsApp, Email, SMS/Text Message",
04/10/2026 18:46,"Calling a driver or agent directly, Physical trip to the station/inter-city terminus","Wasting time/money traveling to the station just to buy a ticket, Lack of seat availability when I arrive, Poor safety/security at the station",I might use it depending on the bus operator,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp",974932204
04/10/2026 18:49,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Poor safety/security at the station",I might use it depending on the bus operator,Maybe,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, In-app push notification",
04/10/2026 18:52,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I might use it depending on the bus operator,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp",
04/10/2026 18:52,"Physical trip to the station/inter-city terminus, Calling a driver or agent directly","Wasting time/money traveling to the station just to buy a ticket, Lack of seat availability when I arrive, Poor safety/security at the station",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, Email",
04/10/2026 18:52,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Maybe,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/10/2026 18:55,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only)",I would use it every time I travel,Maybe,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,WhatsApp,
04/10/2026 18:59,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I might use it depending on the bus operator,Maybe,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,MTN MoMo,"In-app push notification, Email, WhatsApp",
04/10/2026 19:07,Physical trip to the station/inter-city terminus,"Limited payment options (cash only), Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp",
04/10/2026 19:11,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would likely use it for most trips,Maybe,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",
04/10/2026 19:22,"Third-party booking office, Calling a driver or agent directly","Poor safety/security at the station, Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Lack of seat availability when I arrive",I would use it every time I travel,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message, Email",973010940
04/10/2026 19:27,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp, Email, In-app push notification",
